date,time,east,north,center,south,total,unit,source_url
2026-04-23,00:00,38.6,989.0,873.5,937.1,2838.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,00:10,36.9,991.9,900.3,950.4,2879.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,00:20,37.5,1000.5,876.3,947.6,2861.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,00:30,37.6,997.2,868.8,940.2,2843.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,00:40,37.2,985.7,880.2,917.7,2820.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,00:50,37.0,987.4,856.3,909.2,2789.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:00,37.0,986.5,865.5,919.6,2808.6,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:10,38.4,973.4,861.1,915.9,2788.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:20,38.3,978.0,853.4,910.9,2780.6,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:30,39.0,953.1,858.3,899.4,2749.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:40,37.2,962.7,843.3,894.3,2737.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,01:50,37.7,960.3,848.8,884.0,2730.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,02:00,37.2,955.3,854.8,882.1,2729.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,02:10,38.9,925.7,854.0,891.2,2709.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,02:20,39.5,925.8,846.3,875.3,2686.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,02:30,39.3,910.3,843.8,875.8,2669.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,02:40,38.8,919.8,827.9,875.0,2661.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
