date,time,east,north,center,south,total,unit,source_url
2026-04-23,02:50,40.0,900.6,841.6,879.0,2661.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:00,39.1,907.1,838.8,868.7,2653.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:10,38.1,911.4,832.2,863.4,2645.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:20,38.8,900.0,839.4,869.0,2647.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:30,39.3,887.1,825.1,849.7,2601.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:40,38.4,896.2,838.8,849.4,2622.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,03:50,39.3,900.0,827.9,855.3,2622.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:00,38.6,896.2,825.7,837.3,2597.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:10,36.7,891.7,822.7,847.0,2598.1000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:20,36.8,905.5,826.4,838.4,2607.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:30,36.5,899.8,826.3,829.1,2591.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:40,37.3,904.5,831.4,825.5,2598.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,04:50,38.1,899.9,823.4,821.1,2582.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:00,37.4,908.5,821.2,838.1,2605.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:10,34.2,923.1,831.8,828.2,2617.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:20,33.9,920.6,823.2,829.7,2607.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:30,34.0,901.0,826.0,820.5,2581.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:40,32.2,906.8,835.6,824.4,2599.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,05:50,33.2,891.2,830.9,829.8,2585.1000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:00,33.4,894.8,826.2,828.3,2582.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:10,37.7,858.5,847.0,856.6,2599.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:20,37.1,849.5,827.4,856.7,2570.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:30,35.2,858.1,836.3,868.4,2598.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:40,37.5,872.0,844.7,881.0,2635.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,06:50,38.0,878.3,834.2,895.3,2645.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:00,37.4,885.2,840.7,897.1,2660.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:10,36.6,900.3,861.9,920.9,2719.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:20,36.5,898.2,868.1,928.6,2731.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:30,36.5,903.9,877.7,946.8,2764.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:40,38.9,917.0,873.5,971.0,2800.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,07:50,39.9,936.9,874.1,981.7,2832.6000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:00,40.1,970.4,902.5,1017.3,2930.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:10,36.8,1046.7,959.6,1039.0,3082.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:20,36.9,1064.7,970.9,1064.6,3137.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:30,38.3,1073.3,982.6,1092.7,3186.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:40,38.6,1080.1,967.1,1109.3,3195.0999999999995,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,08:50,39.4,1079.1,984.3,1121.9,3224.7000000000003,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:00,38.5,1084.3,990.7,1134.3,3247.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:10,38.4,1101.8,1010.7,1159.4,3310.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:20,37.7,1156.7,998.6,1160.6,3353.6,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:30,39.6,1161.7,1003.8,1170.6,3375.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:40,40.2,1144.3,1010.9,1180.8,3376.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,09:50,39.8,1152.6,1005.5,1195.0,3392.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:00,41.8,1234.5,1026.4,1200.0,3502.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:10,40.9,1104.4,1029.1,1209.0,3383.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:20,40.0,1159.4,1035.5,1215.0,3449.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:30,41.5,1129.4,1049.3,1231.2,3451.3999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:40,43.4,1172.1,1060.8,1228.4,3504.7000000000003,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,10:50,42.0,1130.9,1073.8,1231.1,3477.7999999999997,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:00,42.7,1131.8,1061.7,1232.3,3468.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:10,45.1,1140.6,1082.3,1250.1,3518.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:20,45.3,1137.9,1069.6,1270.6,3523.4,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:30,45.5,1174.1,1076.2,1269.1,3564.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:40,48.2,1129.7,1072.1,1284.8,3534.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,11:50,47.3,1141.6,1025.3,1281.3,3495.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:00,47.8,1132.8,1010.1,1257.8,3448.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:10,47.6,1130.6,994.6,1247.2,3420.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:20,47.1,1165.0,985.1,1237.0,3434.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:30,47.2,1162.5,1013.0,1225.7,3448.3999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:40,46.9,1151.8,990.3,1246.3,3435.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,12:50,45.7,1169.2,983.7,1249.5,3448.1000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:00,47.3,1162.7,1005.5,1263.3,3478.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:10,49.2,1191.9,1038.4,1266.6,3546.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:20,48.1,1178.5,1059.0,1275.7,3561.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:30,47.3,1188.0,1037.6,1280.4,3553.2999999999997,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:40,46.5,1207.2,1063.5,1267.2,3584.3999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,13:50,47.7,1201.0,1053.2,1283.3,3585.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:00,46.6,1196.4,1051.0,1265.1,3559.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:10,47.8,1201.7,1069.2,1255.1,3573.7999999999997,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:20,46.7,1198.4,1043.9,1253.0,3542.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:30,47.8,1201.4,1068.8,1253.9,3571.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:40,45.3,1199.9,1066.6,1256.1,3567.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,14:50,44.2,1216.3,1072.1,1253.9,3586.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:00,46.5,1216.3,1098.3,1237.6,3598.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:10,44.9,1205.8,1091.6,1234.2,3576.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:20,45.3,1189.7,1091.2,1233.3,3559.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:30,42.3,1234.3,1088.5,1224.4,3589.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:40,44.0,1214.0,1087.3,1232.6,3577.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,15:50,43.5,1179.6,1075.5,1236.7,3535.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:00,46.9,1182.7,1070.0,1239.5,3539.1000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:10,43.5,1217.9,1078.2,1206.6,3546.2000000000003,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:20,44.0,1221.1,1075.5,1209.0,3549.6,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:30,44.4,1208.5,1053.4,1210.2,3516.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:40,44.0,1204.4,1068.8,1201.5,3518.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,16:50,42.4,1207.8,1067.1,1190.7,3508.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:00,43.0,1185.2,1052.4,1183.3,3463.9000000000005,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:10,43.4,1192.8,1035.3,1157.7,3429.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:20,43.9,1176.1,1022.2,1159.3,3401.5,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:30,43.5,1181.5,1029.1,1152.5,3406.6,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:40,42.9,1164.1,1034.8,1146.9,3388.7000000000003,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,17:50,42.7,1177.8,1039.5,1141.1,3401.1,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:00,43.4,1173.4,1044.5,1146.9,3408.2000000000003,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:10,44.4,1163.7,1040.3,1143.3,3391.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:20,45.6,1170.0,1031.3,1137.4,3384.2999999999997,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:30,45.9,1158.3,1059.2,1135.8,3399.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:40,46.3,1158.5,1057.4,1128.5,3390.7,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,18:50,44.7,1147.8,1057.6,1125.2,3375.3,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:00,44.7,1144.7,1052.0,1107.7,3349.1000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:10,44.9,1145.1,1036.5,1105.7,3332.2,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:20,46.5,1134.9,1051.4,1085.2,3318.0,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:30,45.7,1133.7,1058.0,1082.2,3319.6000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:40,44.9,1142.1,1040.1,1087.8,3314.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,19:50,45.3,1155.1,1049.6,1072.9,3322.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:00,45.4,1124.5,1023.0,1085.7,3278.6000000000004,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:10,46.8,1102.0,1044.3,1088.8,3281.8999999999996,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:20,47.4,1104.4,1040.6,1075.5,3267.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:30,46.4,1099.1,1028.9,1065.5,3239.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:40,46.7,1093.7,1016.7,1082.7,3239.8,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
2026-04-23,20:50,46.7,1106.7,1012.9,1074.6,3240.9,萬瓩,https://www.taipower.com.tw/d006/loadGraph/loadGraph/data/loadareas.csv
